精霊A,精霊B,合体悪魔
サラマンダー,サラマンダー,-
サラマンダー,フレイミーズ,ラケー
サラマンダー,ウンディーネ,イツァム・ナー
サラマンダー,アクアンズ,オロバス
サラマンダー,シルフ,アグニ
サラマンダー,エアロス,フェニックス
サラマンダー,ノーム,コトシロヌシ
サラマンダー,アーシーズ,ベリス
ウンディーネ,サラマンダー,イツァム・ナー
ウンディーネ,フレイミーズ,ヤクシニー
ウンディーネ,ウンディーネ,-
ウンディーネ,アクアンズ,フォルネウス
ウンディーネ,シルフ,アークエンジェル
ウンディーネ,エアロス,ガンダルバ
ウンディーネ,ノーム,ナーガ・ラジャ
ウンディーネ,アーシーズ,ドリアード
シルフ,サラマンダー,アグニ
シルフ,フレイミーズ,ホウオウ
シルフ,ウンディーネ,アークエンジェル
シルフ,アクアンズ,セイレーン
シルフ,シルフ,-
シルフ,エアロス,フリアイ
シルフ,ノーム,エンジェル
シルフ,アーシーズ,オンコット
ノーム,サラマンダー,コトシロヌシ
ノーム,フレイミーズ,ドワーフ
ノーム,ウンディーネ,ナーガ・ラジャ
ノーム,アクアンズ,キリン
ノーム,シルフ,エンジェル
ノーム,エアロス,ワイアーム
ノーム,ノーム,-
ノーム,アーシーズ,ワーム
フレイミーズ,サラマンダー,ラケー
フレイミーズ,フレイミーズ,-
フレイミーズ,ウンディーネ,ヤクシニー
フレイミーズ,アクアンズ,ハクタク
フレイミーズ,シルフ,ホウオウ
フレイミーズ,エアロス,シトリー
フレイミーズ,ノーム,ドワーフ
フレイミーズ,アーシーズ,ユニコーン
アクアンズ,サラマンダー,オロバス
アクアンズ,フレイミーズ,ハクタク
アクアンズ,ウンディーネ,フォルネウス
アクアンズ,アクアンズ,-
アクアンズ,シルフ,セイレーン
アクアンズ,エアロス,ジャックフロスト
アクアンズ,ノーム,キリン
アクアンズ,アーシーズ,ボーグル
エアロス,サラマンダー,フェニックス
エアロス,フレイミーズ,シトリー
エアロス,ウンディーネ,ガンダルバ
エアロス,アクアンズ,ジャックフロスト
エアロス,シルフ,フリアイ
エアロス,エアロス,-
エアロス,ノーム,ワイアーム
エアロス,アーシーズ,ブッカブー
アーシーズ,サラマンダー,ベリス
アーシーズ,フレイミーズ,ユニコーン
アーシーズ,ウンディーネ,ドリアード
アーシーズ,アクアンズ,ボーグル
アーシーズ,シルフ,オンコット
アーシーズ,エアロス,ブッカブー
アーシーズ,ノーム,ワーム
アーシーズ,アーシーズ,-
